X;name.for.phylo;Family;Genus;Translation;Symbol
290;Adenocarpus_foliolosus;Fabaceae;Adenocarpus;Fabaceae.undiff;ADFO2
291;Adolphia_infesta;Rhamnaceae;Adolphia;Rhamnaceae;ADIN
292;Adesmia_incana;Fabaceae;Adesmia;Fabaceae.undiff;ADIN2
293;Adesmia_microphylla;Fabaceae;Adesmia;Fabaceae.undiff;ADMI2
294;Adesmia_muricata;Fabaceae;Adesmia;Fabaceae.undiff;ADMU2
295;Adenanthera_pavonina;Fabaceae;Adenanthera;Fabaceae.undiff;ADPA
296;Adelia_ricinella;Euphorbiaceae;Adelia;Euphorbiaceae;ADRI
297;Adenostoma_sparsifolium;Rosaceae;Adenostoma;Rosaceae.undiff;ADSP
298;Adesmia_tenella;Fabaceae;Adesmia;Fabaceae.undiff;ADTE3
299;Adelia_vaseyi;Euphorbiaceae;Adelia;Euphorbiaceae;ADVA
300;Aeschynomene_americana;Fabaceae;Aeschynomene;Fabaceae.undiff;AEAM
301;Aeschynomene_aspera;Fabaceae;Aeschynomene;Fabaceae.undiff;AEAS
302;Aeschynomene_brasiliana;Fabaceae;Aeschynomene;Fabaceae.undiff;AEBR2
303;Aeschynomene_elaphroxylon;Fabaceae;Aeschynomene;Fabaceae.undiff;AEEL2
304;Aeschynomene_elegans;Fabaceae;Aeschynomene;Fabaceae.undiff;AEEL3
305;Aeschynomene_evenia;Fabaceae;Aeschynomene;Fabaceae.undiff;AEEV
306;Aeschynomene_falcata;Fabaceae;Aeschynomene;Fabaceae.undiff;AEFA2
307;Aeschynomene_gracilis;Fabaceae;Aeschynomene;Fabaceae.undiff;AEGR
308;Aeschynomene_histrix;Fabaceae;Aeschynomene;Fabaceae.undiff;AEHI2
309;Aeschynomene_histrix;Fabaceae;Aeschynomene;Fabaceae.undiff;AEHII
310;Aeschynomene_indica;Fabaceae;Aeschynomene;Fabaceae.undiff;AEIN
311;Aeschynomene_paniculata;Fabaceae;Aeschynomene;Fabaceae.undiff;AEPA3
312;Aeschynomene_pratensis;Fabaceae;Aeschynomene;Fabaceae.undiff;AEPR
313;Aeschynomene_rudis;Fabaceae;Aeschynomene;Fabaceae.undiff;AERU
314;Aeschynomene_sensitiva;Fabaceae;Aeschynomene;Fabaceae.undiff;AESE2
315;Aeschynomene_sensitiva;Fabaceae;Aeschynomene;Fabaceae.undiff;AESEH
316;Aeschynomene_sensitiva;Fabaceae;Aeschynomene;Fabaceae.undiff;AESES
317;Aeschynomene_viscidula;Fabaceae;Aeschynomene;Fabaceae.undiff;AEVI
318;Aeschynomene_villosa;Fabaceae;Aeschynomene;Fabaceae.undiff;AEVI2
319;Aeschynomene_virginica;Fabaceae;Aeschynomene;Fabaceae.undiff;AEVI3
320;Afzelia_africana;Fabaceae;Afzelia;Fabaceae.undiff;AFAF
321;Afzelia_bella;Fabaceae;Afzelia;Fabaceae.undiff;AFBE
322;Afzelia_quanzensis;Fabaceae;Afzelia;Fabaceae.undiff;AFQU
323;Agrimonia_eupatoria;Rosaceae;Agrimonia;Rosaceae.undiff;AGEU
324;Agrimonia_gryposepala;Rosaceae;Agrimonia;Rosaceae.undiff;AGGR2
325;Aganope_heptaphylla;Fabaceae;Aganope;Fabaceae.undiff;AGHE7
326;Agrimonia_incisa;Rosaceae;Agrimonia;Rosaceae.undiff;AGIN3
327;Agrimonia_microcarpa;Rosaceae;Agrimonia;Rosaceae.undiff;AGMI2
328;Agrimonia_odorata;Rosaceae;Agrimonia;Rosaceae.undiff;AGOD2
329;Agrimonia_parviflora;Rosaceae;Agrimonia;Rosaceae.undiff;AGPA6
330;Agarista_populifolia;Ericaceae;Agarista;Ericaceae.undiff;AGPO2
331;Agrimonia_pubescens;Rosaceae;Agrimonia;Rosaceae.undiff;AGPU
332;Agrimonia_rostellata;Rosaceae;Agrimonia;Rosaceae.undiff;AGRO3
333;Agrimonia_striata;Rosaceae;Agrimonia;Rosaceae.undiff;AGST
334;Aiphanes_caryotifolia;Arecaceae;Aiphanes;Arecaceae;AICA5
335;Aiphanes_corallina;Arecaceae;Aiphanes;Arecaceae;AICO
336;Aiphanes_minima;Arecaceae;Aiphanes;Arecaceae;AIMI
337;Albizia_acle;Fabaceae;Albizia;Fabaceae.undiff;ALAC
338;Albizia_adinocephala;Fabaceae;Albizia;Fabaceae.undiff;ALAD
339;Albizia_adianthifolia;Fabaceae;Albizia;Fabaceae.undiff;ALAD2
340;Alchemilla_alpina;Rosaceae;Alchemilla;Rosaceae.undiff;ALAL
341;Albizia_amara;Fabaceae;Albizia;Fabaceae.undiff;ALAM12
342;Albizia_antunesiana;Fabaceae;Albizia;Fabaceae.undiff;ALAN6
